# seed=(1, 2) mean=(5, 20) standard_deviation=(1, 15) number_of_processes=1000
------------------------------------------------------------
Average waiting time : 2247.196
Average turn around time : 2251.731
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 5 | Arrival Time 0 | Turn Around Time 5
Process 1 | Waiting Time 5 | Burst Time 4 | Arrival Time 0 | Turn Around Time 9
Process 2 | Waiting Time 9 | Burst Time 7 | Arrival Time 0 | Turn Around Time 16
Process 3 | Waiting Time 16 | Burst Time 4 | Arrival Time 0 | Turn Around Time 20
Process 4 | Waiting Time 20 | Burst Time 4 | Arrival Time 0 | Turn Around Time 24
Process 5 | Waiting Time 24 | Burst Time 5 | Arrival Time 0 | Turn Around Time 29
Process 6 | Waiting Time 29 | Burst Time 6 | Arrival Time 0 | Turn Around Time 35
Process 7 | Waiting Time 35 | Burst Time 6 | Arrival Time 0 | Turn Around Time 41
Process 8 | Waiting Time 41 | Burst Time 3 | Arrival Time 0 | Turn Around Time 44
Process 9 | Waiting Time 44 | Burst Time 6 | Arrival Time 0 | Turn Around Time 50
Process 10 | Waiting Time 50 | Burst Time 6 | Arrival Time 0 | Turn Around Time 56
Process 11 | Waiting Time 56 | Burst Time 3 | Arrival Time 0 | Turn Around Time 59
Process 12 | Waiting Time 59 | Burst Time 6 | Arrival Time 0 | Turn Around Time 65
Process 13 | Waiting Time 65 | Burst Time 5 | Arrival Time 0 | Turn Around Time 70
Process 14 | Waiting Time 70 | Burst Time 4 | Arrival Time 0 | Turn Around Time 74
Process 15 | Waiting Time 74 | Burst Time 5 | Arrival Time 0 | Turn Around Time 79
Process 16 | Waiting Time 79 | Burst Time 5 | Arrival Time 0 | Turn Around Time 84
Process 17 | Waiting Time 84 | Burst Time 4 | Arrival Time 0 | Turn Around Time 88
Process 18 | Waiting Time 88 | Burst Time 5 | Arrival Time 0 | Turn Around Time 93
Process 19 | Waiting Time 93 | Burst Time 4 | Arrival Time 0 | Turn Around Time 97
Process 20 | Waiting Time 97 | Burst Time 5 | Arrival Time 0 | Turn Around Time 102
Process 21 | Waiting Time 102 | Burst Time 5 | Arrival Time 0 | Turn Around Time 107
Process 22 | Waiting Time 107 | Burst Time 3 | Arrival Time 0 | Turn Around Time 110
Process 23 | Waiting Time 109 | Burst Time 4 | Arrival Time 1 | Turn Around Time 113
Process 24 | Waiting Time 113 | Burst Time 4 | Arrival Time 1 | Turn Around Time 117
Process 25 | Waiting Time 117 | Burst Time 6 | Arrival Time 1 | Turn Around Time 123
Process 26 | Waiting Time 123 | Burst Time 4 | Arrival Time 1 | Turn Around Time 127
Process 27 | Waiting Time 127 | Burst Time 4 | Arrival Time 1 | Turn Around Time 131
Process 28 | Waiting Time 131 | Burst Time 4 | Arrival Time 1 | Turn Around Time 135
Process 29 | Waiting Time 135 | Burst Time 5 | Arrival Time 1 | Turn Around Time 140
Process 30 | Waiting Time 140 | Burst Time 5 | Arrival Time 1 | Turn Around Time 145
Process 31 | Waiting Time 145 | Burst Time 4 | Arrival Time 1 | Turn Around Time 149
Process 32 | Waiting Time 149 | Burst Time 4 | Arrival Time 1 | Turn Around Time 153
Process 33 | Waiting Time 153 | Burst Time 5 | Arrival Time 1 | Turn Around Time 158
Process 34 | Waiting Time 158 | Burst Time 5 | Arrival Time 1 | Turn Around Time 163
Process 35 | Waiting Time 163 | Burst Time 3 | Arrival Time 1 | Turn Around Time 166
Process 36 | Waiting Time 166 | Burst Time 5 | Arrival Time 1 | Turn Around Time 171
Process 37 | Waiting Time 171 | Burst Time 3 | Arrival Time 1 | Turn Around Time 174
Process 38 | Waiting Time 174 | Burst Time 6 | Arrival Time 1 | Turn Around Time 180
Process 39 | Waiting Time 180 | Burst Time 6 | Arrival Time 1 | Turn Around Time 186
Process 40 | Waiting Time 186 | Burst Time 5 | Arrival Time 1 | Turn Around Time 191
Process 41 | Waiting Time 191 | Burst Time 3 | Arrival Time 1 | Turn Around Time 194
Process 42 | Waiting Time 194 | Burst Time 4 | Arrival Time 1 | Turn Around Time 198
Process 43 | Waiting Time 198 | Burst Time 5 | Arrival Time 1 | Turn Around Time 203
Process 44 | Waiting Time 203 | Burst Time 5 | Arrival Time 1 | Turn Around Time 208
Process 45 | Waiting Time 208 | Burst Time 3 | Arrival Time 1 | Turn Around Time 211
Process 46 | Waiting Time 211 | Burst Time 4 | Arrival Time 1 | Turn Around Time 215
Process 47 | Waiting Time 214 | Burst Time 4 | Arrival Time 2 | Turn Around Time 218
Process 48 | Waiting Time 218 | Burst Time 5 | Arrival Time 2 | Turn Around Time 223
Process 49 | Waiting Time 223 | Burst Time 5 | Arrival Time 2 | Turn Around Time 228
Process 50 | Waiting Time 228 | Burst Time 6 | Arrival Time 2 | Turn Around Time 234
Process 51 | Waiting Time 234 | Burst Time 4 | Arrival Time 2 | Turn Around Time 238
Process 52 | Waiting Time 238 | Burst Time 4 | Arrival Time 2 | Turn Around Time 242
Process 53 | Waiting Time 242 | Burst Time 3 | Arrival Time 2 | Turn Around Time 245
Process 54 | Waiting Time 245 | Burst Time 5 | Arrival Time 2 | Turn Around Time 250
Process 55 | Waiting Time 250 | Burst Time 5 | Arrival Time 2 | Turn Around Time 255
Process 56 | Waiting Time 255 | Burst Time 4 | Arrival Time 2 | Turn Around Time 259
Process 57 | Waiting Time 259 | Burst Time 4 | Arrival Time 2 | Turn Around Time 263
Process 58 | Waiting Time 263 | Burst Time 5 | Arrival Time 2 | Turn Around Time 268
Process 59 | Waiting Time 268 | Burst Time 6 | Arrival Time 2 | Turn Around Time 274
Process 60 | Waiting Time 274 | Burst Time 5 | Arrival Time 2 | Turn Around Time 279
Process 61 | Waiting Time 279 | Burst Time 5 | Arrival Time 2 | Turn Around Time 284
Process 62 | Waiting Time 284 | Burst Time 3 | Arrival Time 2 | Turn Around Time 287
Process 63 | Waiting Time 287 | Burst Time 5 | Arrival Time 2 | Turn Around Time 292
Process 64 | Waiting Time 292 | Burst Time 5 | Arrival Time 2 | Turn Around Time 297
Process 65 | Waiting Time 297 | Burst Time 5 | Arrival Time 2 | Turn Around Time 302
Process 66 | Waiting Time 302 | Burst Time 5 | Arrival Time 2 | Turn Around Time 307
Process 67 | Waiting Time 307 | Burst Time 3 | Arrival Time 2 | Turn Around Time 310
