# seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) number_of_processes=100
------------------------------------------------------------
Average waiting time : 12497.4
Average turn around time : 12749.93
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 255 | Arrival Time 0 | Turn Around Time 255
Process 1 | Waiting Time 254 | Burst Time 211 | Arrival Time 1 | Turn Around Time 465
Process 2 | Waiting Time 465 | Burst Time 236 | Arrival Time 1 | Turn Around Time 701
Process 3 | Waiting Time 701 | Burst Time 325 | Arrival Time 1 | Turn Around Time 1026
Process 4 | Waiting Time 1025 | Burst Time 203 | Arrival Time 2 | Turn Around Time 1228
Process 5 | Waiting Time 1227 | Burst Time 230 | Arrival Time 3 | Turn Around Time 1457
Process 6 | Waiting Time 1457 | Burst Time 265 | Arrival Time 3 | Turn Around Time 1722
Process 7 | Waiting Time 1721 | Burst Time 265 | Arrival Time 4 | Turn Around Time 1986
Process 8 | Waiting Time 1985 | Burst Time 275 | Arrival Time 5 | Turn Around Time 2260
Process 9 | Waiting Time 2259 | Burst Time 293 | Arrival Time 6 | Turn Around Time 2552
Process 10 | Waiting Time 2552 | Burst Time 237 | Arrival Time 6 | Turn Around Time 2789
Process 11 | Waiting Time 2789 | Burst Time 194 | Arrival Time 6 | Turn Around Time 2983
Process 12 | Waiting Time 2983 | Burst Time 271 | Arrival Time 6 | Turn Around Time 3254
Process 13 | Waiting Time 3253 | Burst Time 134 | Arrival Time 7 | Turn Around Time 3387
Process 14 | Waiting Time 3387 | Burst Time 261 | Arrival Time 7 | Turn Around Time 3648
Process 15 | Waiting Time 3648 | Burst Time 256 | Arrival Time 7 | Turn Around Time 3904
Process 16 | Waiting Time 3904 | Burst Time 294 | Arrival Time 7 | Turn Around Time 4198
Process 17 | Waiting Time 4197 | Burst Time 252 | Arrival Time 8 | Turn Around Time 4449
Process 18 | Waiting Time 4449 | Burst Time 212 | Arrival Time 8 | Turn Around Time 4661
Process 19 | Waiting Time 4660 | Burst Time 306 | Arrival Time 9 | Turn Around Time 4966
Process 20 | Waiting Time 4965 | Burst Time 243 | Arrival Time 10 | Turn Around Time 5208
Process 21 | Waiting Time 5208 | Burst Time 291 | Arrival Time 10 | Turn Around Time 5499
Process 22 | Waiting Time 5499 | Burst Time 274 | Arrival Time 10 | Turn Around Time 5773
Process 23 | Waiting Time 5773 | Burst Time 177 | Arrival Time 10 | Turn Around Time 5950
Process 24 | Waiting Time 5950 | Burst Time 288 | Arrival Time 10 | Turn Around Time 6238
Process 25 | Waiting Time 6237 | Burst Time 195 | Arrival Time 11 | Turn Around Time 6432
Process 26 | Waiting Time 6431 | Burst Time 223 | Arrival Time 12 | Turn Around Time 6654
Process 27 | Waiting Time 6653 | Burst Time 331 | Arrival Time 13 | Turn Around Time 6984
Process 28 | Waiting Time 6984 | Burst Time 212 | Arrival Time 13 | Turn Around Time 7196
Process 29 | Waiting Time 7196 | Burst Time 259 | Arrival Time 13 | Turn Around Time 7455
Process 30 | Waiting Time 7455 | Burst Time 256 | Arrival Time 13 | Turn Around Time 7711
Process 31 | Waiting Time 7710 | Burst Time 295 | Arrival Time 14 | Turn Around Time 8005
Process 32 | Waiting Time 8005 | Burst Time 218 | Arrival Time 14 | Turn Around Time 8223
Process 33 | Waiting Time 8223 | Burst Time 232 | Arrival Time 14 | Turn Around Time 8455
Process 34 | Waiting Time 8455 | Burst Time 192 | Arrival Time 14 | Turn Around Time 8647
Process 35 | Waiting Time 8647 | Burst Time 258 | Arrival Time 14 | Turn Around Time 8905
Process 36 | Waiting Time 8904 | Burst Time 215 | Arrival Time 15 | Turn Around Time 9119
Process 37 | Waiting Time 9119 | Burst Time 240 | Arrival Time 15 | Turn Around Time 9359
Process 38 | Waiting Time 9359 | Burst Time 284 | Arrival Time 15 | Turn Around Time 9643
Process 39 | Waiting Time 9642 | Burst Time 215 | Arrival Time 16 | Turn Around Time 9857
Process 40 | Waiting Time 9857 | Burst Time 215 | Arrival Time 16 | Turn Around Time 10072
Process 41 | Waiting Time 10072 | Burst Time 252 | Arrival Time 16 | Turn Around Time 10324
Process 42 | Waiting Time 10323 | Burst Time 307 | Arrival Time 17 | Turn Around Time 10630
Process 43 | Waiting Time 10630 | Burst Time 276 | Arrival Time 17 | Turn Around Time 10906
Process 44 | Waiting Time 10906 | Burst Time 238 | Arrival Time 17 | Turn Around Time 11144
Process 45 | Waiting Time 11143 | Burst Time 232 | Arrival Time 18 | Turn Around Time 11375
Process 46 | Waiting Time 11375 | Burst Time 312 | Arrival Time 18 | Turn Around Time 11687
Process 47 | Waiting Time 11687 | Burst Time 291 | Arrival Time 18 | Turn Around Time 11978
Process 48 | Waiting Time 11978 | Burst Time 239 | Arrival Time 18 | Turn Around Time 12217
Process 49 | Waiting Time 12216 | Burst Time 219 | Arrival Time 19 | Turn Around Time 12435
Process 50 | Waiting Time 12435 | Burst Time 241 | Arrival Time 19 | Turn Around Time 12676
Process 51 | Waiting Time 12676 | Burst Time 275 | Arrival Time 19 | Turn Around Time 12951
Process 52 | Waiting Time 12951 | Burst Time 234 | Arrival Time 19 | Turn Around Time 13185
Process 53 | Waiting Time 13184 | Burst Time 233 | Arrival Time 20 | Turn Around Time 13417
Process 54 | Waiting Time 13417 | Burst Time 279 | Arrival Time 20 | Turn Around Time 13696
Process 55 | Waiting Time 13696 | Burst Time 332 | Arrival Time 20 | Turn Around Time 14028
Process 56 | Waiting Time 14028 | Burst Time 355 | Arrival Time 20 | Turn Around Time 14383
Process 57 | Waiting Time 14383 | Burst Time 246 | Arrival Time 20 | Turn Around Time 14629
Process 58 | Waiting Time 14629 | Burst Time 293 | Arrival Time 20 | Turn Around Time 14922
Process 59 | Waiting Time 14921 | Burst Time 207 | Arrival Time 21 | Turn Around Time 15128
Process 60 | Waiting Time 15128 | Burst Time 280 | Arrival Time 21 | Turn Around Time 15408
Process 61 | Waiting Time 15406 | Burst Time 295 | Arrival Time 23 | Turn Around Time 15701
Process 62 | Waiting Time 15701 | Burst Time 264 | Arrival Time 23 | Turn Around Time 15965
Process 63 | Waiting Time 15965 | Burst Time 231 | Arrival Time 23 | Turn Around Time 16196
Process 64 | Waiting Time 16195 | Burst Time 235 | Arrival Time 24 | Turn Around Time 16430
Process 65 | Waiting Time 16429 | Burst Time 216 | Arrival Time 25 | Turn Around Time 16645
Process 66 | Waiting Time 16645 | Burst Time 306 | Arrival Time 25 | Turn Around Time 16951
Process 67 | Waiting Time 16951 | Burst Time 309 | Arrival Time 25 | Turn Around Time 17260
Process 68 | Waiting Time 17260 | Burst Time 232 | Arrival Time 25 | Turn Around Time 17492
Process 69 | Waiting Time 17491 | Burst Time 239 | Arrival Time 26 | Turn Around Time 17730
Process 70 | Waiting Time 17729 | Burst Time 337 | Arrival Time 27 | Turn Around Time 18066
Process 71 | Waiting Time 18066 | Burst Time 194 | Arrival Time 27 | Turn Around Time 18260
Process 72 | Waiting Time 18260 | Burst Time 296 | Arrival Time 27 | Turn Around Time 18556
Process 73 | Waiting Time 18556 | Burst Time 359 | Arrival Time 27 | Turn Around Time 18915
Process 74 | Waiting Time 18914 | Burst Time 323 | Arrival Time 28 | Turn Around Time 19237
Process 75 | Waiting Time 19237 | Burst Time 306 | Arrival Time 28 | Turn Around Time 19543
Process 76 | Waiting Time 19543 | Burst Time 287 | Arrival Time 28 | Turn Around Time 19830
Process 77 | Waiting Time 19830 | Burst Time 259 | Arrival Time 28 | Turn Around Time 20089
Process 78 | Waiting Time 20088 | Burst Time 259 | Arrival Time 29 | Turn Around Time 20347
Process 79 | Waiting Time 20346 | Burst Time 261 | Arrival Time 30 | Turn Around Time 20607
Process 80 | Waiting Time 20606 | Burst Time 205 | Arrival Time 31 | Turn Around Time 20811
Process 81 | Waiting Time 20811 | Burst Time 180 | Arrival Time 31 | Turn Around Time 20991
Process 82 | Waiting Time 20990 | Burst Time 224 | Arrival Time 32 | Turn Around Time 21214
Process 83 | Waiting Time 21214 | Burst Time 259 | Arrival Time 32 | Turn Around Time 21473
Process 84 | Waiting Time 21470 | Burst Time 265 | Arrival Time 35 | Turn Around Time 21735
Process 85 | Waiting Time 21735 | Burst Time 253 | Arrival Time 35 | Turn Around Time 21988
Process 86 | Waiting Time 21986 | Burst Time 206 | Arrival Time 37 | Turn Around Time 22192
