normal_distribution seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) sample_size=100
------------------------------------------------------------
Burst Time = 331 Arrival Time = 13
Burst Time = 219 Arrival Time = 19
Burst Time = 223 Arrival Time = 12
Burst Time = 196 Arrival Time = 44
Burst Time = 293 Arrival Time = 6
Burst Time = 134 Arrival Time = 7
Burst Time = 337 Arrival Time = 27
Burst Time = 211 Arrival Time = 1
Burst Time = 265 Arrival Time = 4
Burst Time = 237 Arrival Time = 6
Burst Time = 323 Arrival Time = 28
Burst Time = 146 Arrival Time = 54
Burst Time = 233 Arrival Time = 20
Burst Time = 230 Arrival Time = 3
Burst Time = 306 Arrival Time = 28
Burst Time = 195 Arrival Time = 11
Burst Time = 241 Arrival Time = 19
Burst Time = 206 Arrival Time = 37
Burst Time = 252 Arrival Time = 8
Burst Time = 279 Arrival Time = 20
Burst Time = 194 Arrival Time = 6
Burst Time = 307 Arrival Time = 17
Burst Time = 295 Arrival Time = 23
Burst Time = 275 Arrival Time = 5
Burst Time = 295 Arrival Time = 14
Burst Time = 215 Arrival Time = 16
Burst Time = 243 Arrival Time = 10
Burst Time = 203 Arrival Time = 2
Burst Time = 236 Arrival Time = 1
Burst Time = 276 Arrival Time = 17
Burst Time = 215 Arrival Time = 15
Burst Time = 230 Arrival Time = 53
Burst Time = 215 Arrival Time = 16
Burst Time = 207 Arrival Time = 21
Burst Time = 216 Arrival Time = 25
Burst Time = 249 Arrival Time = 40
Burst Time = 194 Arrival Time = 27
Burst Time = 261 Arrival Time = 7
Burst Time = 332 Arrival Time = 20
Burst Time = 287 Arrival Time = 28
Burst Time = 240 Arrival Time = 15
Burst Time = 205 Arrival Time = 31
Burst Time = 212 Arrival Time = 8
Burst Time = 334 Arrival Time = 45
Burst Time = 252 Arrival Time = 42
Burst Time = 218 Arrival Time = 14
Burst Time = 259 Arrival Time = 29
Burst Time = 355 Arrival Time = 20
Burst Time = 256 Arrival Time = 7
Burst Time = 280 Arrival Time = 21
Burst Time = 265 Arrival Time = 35
Burst Time = 232 Arrival Time = 14
Burst Time = 192 Arrival Time = 14
Burst Time = 232 Arrival Time = 18
Burst Time = 239 Arrival Time = 26
Burst Time = 279 Arrival Time = 39
Burst Time = 291 Arrival Time = 10
Burst Time = 296 Arrival Time = 27
Burst Time = 264 Arrival Time = 23
Burst Time = 294 Arrival Time = 7
Burst Time = 212 Arrival Time = 13
Burst Time = 312 Arrival Time = 18
Burst Time = 275 Arrival Time = 19
Burst Time = 235 Arrival Time = 24
Burst Time = 274 Arrival Time = 10
Burst Time = 246 Arrival Time = 20
Burst Time = 306 Arrival Time = 9
Burst Time = 325 Arrival Time = 1
Burst Time = 359 Arrival Time = 27
Burst Time = 180 Arrival Time = 31
Burst Time = 177 Arrival Time = 10
Burst Time = 224 Arrival Time = 32
Burst Time = 258 Arrival Time = 14
Burst Time = 293 Arrival Time = 20
Burst Time = 265 Arrival Time = 3
Burst Time = 148 Arrival Time = 43
Burst Time = 234 Arrival Time = 19
Burst Time = 291 Arrival Time = 18
Burst Time = 261 Arrival Time = 30
Burst Time = 288 Arrival Time = 10
Burst Time = 238 Arrival Time = 17
Burst Time = 239 Arrival Time = 18
Burst Time = 259 Arrival Time = 32
Burst Time = 270 Arrival Time = 38
Burst Time = 259 Arrival Time = 13
Burst Time = 255 Arrival Time = 0
Burst Time = 216 Arrival Time = 40
Burst Time = 268 Arrival Time = 38
Burst Time = 256 Arrival Time = 13
Burst Time = 306 Arrival Time = 25
Burst Time = 309 Arrival Time = 25
Burst Time = 259 Arrival Time = 28
Burst Time = 231 Arrival Time = 23
Burst Time = 218 Arrival Time = 41
Burst Time = 271 Arrival Time = 6
Burst Time = 253 Arrival Time = 35
Burst Time = 232 Arrival Time = 25
Burst Time = 252 Arrival Time = 16
Burst Time = 218 Arrival Time = 37
Burst Time = 284 Arrival Time = 15
