# seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) number_of_processes=500
------------------------------------------------------------
Average waiting time : 62689.144
Average turn around time : 62941.332
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 359 | Arrival Time 81 | Turn Around Time 359
Process 1 | Waiting Time 371 | Burst Time 276 | Arrival Time 69 | Turn Around Time 647
Process 2 | Waiting Time 649 | Burst Time 210 | Arrival Time 67 | Turn Around Time 859
Process 3 | Waiting Time 866 | Burst Time 216 | Arrival Time 60 | Turn Around Time 1082
Process 4 | Waiting Time 1084 | Burst Time 258 | Arrival Time 58 | Turn Around Time 1342
Process 5 | Waiting Time 1342 | Burst Time 306 | Arrival Time 58 | Turn Around Time 1648
Process 6 | Waiting Time 1649 | Burst Time 285 | Arrival Time 57 | Turn Around Time 1934
Process 7 | Waiting Time 1937 | Burst Time 146 | Arrival Time 54 | Turn Around Time 2083
Process 8 | Waiting Time 2083 | Burst Time 273 | Arrival Time 54 | Turn Around Time 2356
Process 9 | Waiting Time 2356 | Burst Time 223 | Arrival Time 54 | Turn Around Time 2579
Process 10 | Waiting Time 2580 | Burst Time 230 | Arrival Time 53 | Turn Around Time 2810
Process 11 | Waiting Time 2811 | Burst Time 275 | Arrival Time 52 | Turn Around Time 3086
Process 12 | Waiting Time 3087 | Burst Time 241 | Arrival Time 51 | Turn Around Time 3328
Process 13 | Waiting Time 3331 | Burst Time 219 | Arrival Time 48 | Turn Around Time 3550
Process 14 | Waiting Time 3550 | Burst Time 274 | Arrival Time 48 | Turn Around Time 3824
Process 15 | Waiting Time 3824 | Burst Time 290 | Arrival Time 48 | Turn Around Time 4114
Process 16 | Waiting Time 4114 | Burst Time 246 | Arrival Time 48 | Turn Around Time 4360
Process 17 | Waiting Time 4361 | Burst Time 287 | Arrival Time 47 | Turn Around Time 4648
Process 18 | Waiting Time 4648 | Burst Time 168 | Arrival Time 47 | Turn Around Time 4816
Process 19 | Waiting Time 4816 | Burst Time 216 | Arrival Time 47 | Turn Around Time 5032
Process 20 | Waiting Time 5032 | Burst Time 178 | Arrival Time 47 | Turn Around Time 5210
Process 21 | Waiting Time 5211 | Burst Time 253 | Arrival Time 46 | Turn Around Time 5464
Process 22 | Waiting Time 5464 | Burst Time 250 | Arrival Time 46 | Turn Around Time 5714
Process 23 | Waiting Time 5715 | Burst Time 334 | Arrival Time 45 | Turn Around Time 6049
Process 24 | Waiting Time 6050 | Burst Time 196 | Arrival Time 44 | Turn Around Time 6246
Process 25 | Waiting Time 6246 | Burst Time 244 | Arrival Time 44 | Turn Around Time 6490
Process 26 | Waiting Time 6490 | Burst Time 240 | Arrival Time 44 | Turn Around Time 6730
Process 27 | Waiting Time 6730 | Burst Time 198 | Arrival Time 44 | Turn Around Time 6928
Process 28 | Waiting Time 6929 | Burst Time 148 | Arrival Time 43 | Turn Around Time 7077
Process 29 | Waiting Time 7077 | Burst Time 244 | Arrival Time 43 | Turn Around Time 7321
Process 30 | Waiting Time 7321 | Burst Time 253 | Arrival Time 43 | Turn Around Time 7574
Process 31 | Waiting Time 7574 | Burst Time 283 | Arrival Time 43 | Turn Around Time 7857
Process 32 | Waiting Time 7857 | Burst Time 249 | Arrival Time 43 | Turn Around Time 8106
Process 33 | Waiting Time 8107 | Burst Time 252 | Arrival Time 42 | Turn Around Time 8359
Process 34 | Waiting Time 8359 | Burst Time 217 | Arrival Time 42 | Turn Around Time 8576
Process 35 | Waiting Time 8576 | Burst Time 347 | Arrival Time 42 | Turn Around Time 8923
Process 36 | Waiting Time 8923 | Burst Time 210 | Arrival Time 42 | Turn Around Time 9133
Process 37 | Waiting Time 9133 | Burst Time 110 | Arrival Time 42 | Turn Around Time 9243
Process 38 | Waiting Time 9244 | Burst Time 218 | Arrival Time 41 | Turn Around Time 9462
Process 39 | Waiting Time 9462 | Burst Time 307 | Arrival Time 41 | Turn Around Time 9769
Process 40 | Waiting Time 9769 | Burst Time 214 | Arrival Time 41 | Turn Around Time 9983
Process 41 | Waiting Time 9983 | Burst Time 235 | Arrival Time 41 | Turn Around Time 10218
Process 42 | Waiting Time 10219 | Burst Time 249 | Arrival Time 40 | Turn Around Time 10468
Process 43 | Waiting Time 10468 | Burst Time 216 | Arrival Time 40 | Turn Around Time 10684
Process 44 | Waiting Time 10684 | Burst Time 186 | Arrival Time 40 | Turn Around Time 10870
Process 45 | Waiting Time 10870 | Burst Time 311 | Arrival Time 40 | Turn Around Time 11181
Process 46 | Waiting Time 11181 | Burst Time 214 | Arrival Time 40 | Turn Around Time 11395
Process 47 | Waiting Time 11396 | Burst Time 279 | Arrival Time 39 | Turn Around Time 11675
Process 48 | Waiting Time 11676 | Burst Time 270 | Arrival Time 38 | Turn Around Time 11946
Process 49 | Waiting Time 11946 | Burst Time 268 | Arrival Time 38 | Turn Around Time 12214
Process 50 | Waiting Time 12214 | Burst Time 311 | Arrival Time 38 | Turn Around Time 12525
Process 51 | Waiting Time 12525 | Burst Time 254 | Arrival Time 38 | Turn Around Time 12779
