# seed = 1 mean = 50 standard_deviation = 300 number_of_pages = 300
Capacity of LSU = 90
------------------------------------------------------------
Page Faults = 280
Page Hits = 20
------------------------------------------------------------
[537] <-- Page - 537 | Page Fault Here
[537, -133] <-- Page - -133 | Page Fault Here
[537, -133, -108] <-- Page - -108 | Page Fault Here
[537, -133, -108, -271] <-- Page - -271 | Page Fault Here
[537, -133, -108, -271, 309] <-- Page - 309 | Page Fault Here
[537, -133, -108, -271, 309, -640] <-- Page - -640 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573] <-- Page - 573 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178] <-- Page - -178 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145] <-- Page - 145 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24] <-- Page - -24 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488] <-- Page - 488 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568] <-- Page - -568 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46] <-- Page - -46 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65] <-- Page - -65 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390] <-- Page - 390 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279] <-- Page - -279 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1] <-- Page - -1 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213] <-- Page - -213 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213, 62] <-- Page - 62 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213, 62, 224] <-- Page - 224 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213, 62, 224, -280] <-- Page - -280 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213, 62, 224, -280, 393] <-- Page - 393 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213, 62, 224, -280, 393, 320] <-- Page - 320 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213, 62, 224, -280, 393, 320, 200] <-- Page - 200 | Page Fault Here
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213, 62, 224, -280, 393, 320, 200] <-- Page - 320
[537, -133, -108, -271, 309, -640, 573, -178, 145, -24, 488, -568, -46, -65, 390, -279, -1, -213, 62, 224, -280, 393, 320, 200, -155] <-- Page - -155 | Page Fault Here
